wknbr,s1,m1,b1,s2,m2,b2,s3,m3,b3,s4,m4,b4,s5,m5,b5,s6,m6,b6,s7,m7,b7,s8,m8,b8,s9,m9,b9,s10,m10,b10,s11,m11,b11,s12,m12,b12,s13,m13,b13,s14,m14,b14,s15,m15,b15,s16,m16,b16,s17,m17,b17,s18,m18,b18,s19,m19,b19,s20,m20,b20,s21,m21,b21,s22,m22,b22,s23,m23,b23,s24,m24,b24,s25,m25,b25,s26,m26,b26,s27,m27,b27,s28,m28,b28,s29,m29,b29,s30,m30,b30,s31,m31,b31,s32,m32,b32,s33,m33,b33,s34,m34,b34,s35,m35,b35,s36,m36,b36,s37,m37,b37,s38,m38,b38,s39,m39,b39,s40,m40,b40,s41,m41,b41,s42,m42,b42,s43,m43,b43,s44,m44,b44,s45,m45,b45,s46,m46,b46,s47,m47,b47,s48,m48,b48,s49,m49,b49,s50,m50,b50,s51,m51,b51,s52,m52,b52,s53,m53,b53,s54,m54,b54,s55,m55,b55
201315,1260.0,126.0,0.0,8126.0,5632.0,0.0,152471.0,60299.0,0.0,22936.0,11882.0,0.0,15223.0,7796.0,0.0,4294.0,859.0,0.0,0,0,0,0,0,0,401706.0,104202.0,0.0,66301.0,51704.0,0.0,0,0,0,19.0,5.0,0.0,19040.0,8888.0,0.0,174271.0,75298.0,0.0,0,0,0,64871.0,19145.0,0.0,7722.0,2195.0,0.0,0,0,0,153302.0,41815.0,0.0,86258.0,36755.0,0.0,20634.0,11786.0,0.0,6310.0,3410.0,0.0,67517.0,37159.0,0.0,4753.0,0.0,0.0,46312.0,23402.0,0.0,5808.0,1607.0,0.0,4359.0,2132.0,0.0,39295.0,13659.0,0.0,0,0,0,215.0,87.0,0.0,79582.0,42386.0,0.0,0,0,0,31315.0,31315.0,0.0,6964.0,3303.0,0.0,83859.0,16919.0,0.0,0,0,0,0,0,0,21229.0,9307.0,0.0,654.0,328.0,0.0,14558.0,12428.0,0.0,441.0,114.0,0.0,57.0,40.0,0.0,0,0,0,0,0,0,65.0,37.0,0.0,0,0,0,41262.0,22140.0,0.0,2407.0,1622.0,0.0,58845.0,27505.0,0.0,14331.0,8037.0,0.0,0,0,0,0,0,0,28618.0,6294.0,0.0,55571.0,29734.0,0.0,30459.0,17163.0,0.0
201434,4765.0,461.0,0.0,10924.0,5135.0,0.0,164739.0,67195.0,0.0,24192.0,12207.0,0.0,13409.0,6941.0,0.0,8805.0,1761.0,0.0,0,0,0,0,0,0,489405.0,152064.0,0.0,74651.0,59600.0,0.0,0,0,0,62.0,22.0,0.0,30391.0,12472.0,0.0,186778.0,81975.0,0.0,0,0,0,63108.0,17670.0,0.0,8334.0,-1134.0,0.0,0,0,0,160962.0,51286.0,0.0,97831.0,41931.0,0.0,27740.0,8878.0,0.0,1443.0,549.0,0.0,85558.0,39333.0,0.0,2687.0,0.0,0.0,47175.0,25295.0,0.0,5427.0,1566.0,0.0,4336.0,1617.0,0.0,28986.0,10019.0,0.0,608.0,223.0,0.0,392.0,222.0,0.0,81181.0,38424.0,0.0,0,0,0,37068.0,37068.0,0.0,9573.0,2552.0,0.0,113942.0,23112.0,0.0,0,0,0,0,0,0,28479.0,13834.0,0.0,2325.0,795.0,0.0,13481.0,11595.0,0.0,180.0,-69.0,0.0,23.0,-35.0,0.0,0,0,0,0,0,0,9374.0,7082.0,0.0,0,0,0,58005.0,29048.0,0.0,2888.0,1948.0,0.0,76658.0,31335.0,0.0,22558.0,13000.0,0.0,0,0,0,0,0,0,29294.0,4345.0,0.0,67515.0,36874.0,0.0,36608.0,9875.0,0.0
201436,4640.0,452.0,0.0,8914.0,5656.0,0.0,155022.0,63349.0,0.0,23821.0,12157.0,0.0,11930.0,6114.0,0.0,5833.0,1167.0,0.0,0,0,0,10.0,1.0,0.0,466861.0,139248.0,0.0,70912.0,56424.0,0.0,0,0,0,55.0,19.0,0.0,30660.0,12155.0,0.0,189825.0,83070.0,0.0,0,0,0,54685.0,17831.0,0.0,9192.0,2604.0,0.0,0,0,0,159812.0,50030.0,0.0,103640.0,43398.0,0.0,22490.0,7115.0,0.0,1821.0,906.0,0.0,86496.0,39726.0,0.0,3927.0,0.0,0.0,52460.0,26291.0,0.0,4290.0,1349.0,0.0,4426.0,1197.0,0.0,22006.0,7909.0,0.0,1152.0,594.0,0.0,217.0,135.0,0.0,69956.0,35533.0,0.0,0,0,0,29890.0,29890.0,0.0,3748.0,1240.0,0.0,86177.0,17433.0,0.0,0,0,0,0,0,0,25718.0,12736.0,0.0,1189.0,396.0,0.0,12664.0,10908.0,0.0,138.0,17.0,0.0,32.0,11.0,0.0,0,0,0,0,0,0,24584.0,15673.0,0.0,0,0,0,47624.0,24954.0,0.0,2540.0,1713.0,0.0,70332.0,30503.0,0.0,25924.0,14764.0,0.0,0,0,0,0,0,0,28140.0,4498.0,0.0,68283.0,35920.0,0.0,30707.0,12903.0,0.0
201442,515.0,59.0,0.0,7502.0,5518.0,0.0,151405.0,62949.0,0.0,24479.0,12844.0,0.0,12496.0,6259.0,0.0,5250.0,1050.0,0.0,0,0,0,0,0,0,491632.0,149489.0,0.0,72801.0,57719.0,0.0,0,0,0,0,0,0,21978.0,10484.0,0.0,180214.0,81711.0,0.0,0,0,0,88013.0,26406.0,0.0,7442.0,1942.0,0.0,0,0,0,154795.0,50122.0,0.0,102060.0,47719.0,0.0,18157.0,11061.0,0.0,5921.0,3100.0,0.0,72533.0,36666.0,0.0,9513.0,0.0,0.0,40174.0,22673.0,0.0,6587.0,2031.0,0.0,3016.0,1172.0,0.0,32024.0,11567.0,0.0,1642.0,825.0,0.0,323.0,149.0,0.0,70344.0,38045.0,0.0,0,0,0,31075.0,31075.0,0.0,3383.0,976.0,0.0,115789.0,23410.0,0.0,0,0,0,0,0,0,26244.0,12697.0,0.0,2642.0,1287.0,0.0,14141.0,12183.0,0.0,193.0,126.0,0.0,92.0,75.0,0.0,0,0,0,0,0,0,58791.0,33367.0,0.0,0,0,0,73036.0,35717.0,0.0,2632.0,1767.0,0.0,62906.0,28125.0,0.0,18030.0,10464.0,0.0,0,0,0,0,0,0,32441.0,4729.0,0.0,86384.0,42405.0,0.0,29929.0,17736.0,0.0
201450,4560.0,466.0,0.0,7065.0,5104.0,0.0,153300.0,62273.0,0.0,19561.0,10013.0,0.0,12157.0,6069.0,0.0,0,0,0,0,0,0,0,0,0,507689.0,141810.0,0.0,69337.0,55498.0,0.0,0,0,0,407.0,-45.0,0.0,23731.0,10919.0,0.0,210959.0,92278.0,0.0,0,0,0,65644.0,17600.0,0.0,5263.0,1566.0,0.0,0,0,0,155846.0,49707.0,0.0,98185.0,44374.0,0.0,18339.0,10581.0,0.0,3437.0,1926.0,0.0,63425.0,31550.0,0.0,5653.0,0.0,0.0,42563.0,23850.0,0.0,6664.0,2051.0,0.0,2170.0,870.0,0.0,26702.0,9577.0,0.0,55.0,23.0,0.0,168.0,107.0,0.0,58730.0,31076.0,0.0,0,0,0,22391.0,22391.0,0.0,5503.0,1711.0,0.0,115436.0,23309.0,0.0,0,0,0,0,0,0,24650.0,12725.0,0.0,1754.0,859.0,0.0,12574.0,10940.0,0.0,138.0,63.0,0.0,50.0,20.0,0.0,0,0,0,0,0,0,4500.0,2094.0,0.0,0,0,0,47683.0,24967.0,0.0,2091.0,1420.0,0.0,69194.0,31553.0,0.0,21525.0,12876.0,0.0,0,0,0,0,0,0,33695.0,6158.0,0.0,51429.0,28672.0,0.0,22209.0,14130.0,0.0
201452,5809.0,494.0,0.0,5774.0,3965.0,0.0,150179.0,59759.0,0.0,21190.0,11185.0,0.0,11998.0,6180.0,0.0,0,0,0,0,0,0,0,0,0,519895.0,155452.0,0.0,68742.0,55095.0,0.0,0,0,0,0,0,0,20060.0,9984.0,0.0,206857.0,88768.0,0.0,0,0,0,59234.0,17138.0,0.0,4464.0,1388.0,0.0,0,0,0,153688.0,49289.0,0.0,88728.0,38042.0,0.0,17270.0,10019.0,0.0,4107.0,2244.0,0.0,68312.0,35211.0,0.0,3014.0,0.0,0.0,38799.0,22138.0,0.0,6757.0,2046.0,0.0,2244.0,1195.0,0.0,28483.0,10267.0,0.0,343.0,89.0,0.0,243.0,166.0,0.0,53422.0,27924.0,0.0,0,0,0,17628.0,17628.0,0.0,3912.0,1384.0,0.0,98518.0,19969.0,0.0,0,0,0,0,0,0,23591.0,12299.0,0.0,1253.0,618.0,0.0,13159.0,11454.0,0.0,108.0,85.0,0.0,59.0,37.0,0.0,0,0,0,0,0,0,11134.0,5324.0,0.0,0,0,0,41828.0,22155.0,0.0,2037.0,1374.0,0.0,52108.0,27119.0,0.0,17726.0,10787.0,0.0,0,0,0,0,0,0,33623.0,5761.0,0.0,51283.0,26553.0,0.0,22996.0,13882.0,0.0
201507,4415.0,444.0,0.0,8404.0,3208.0,0.0,154061.0,57446.0,0.0,21712.0,10745.0,0.0,11455.0,5883.0,0.0,1816.0,363.0,0.0,0,0,0,0,0,0,541652.0,159786.0,0.0,76782.0,61873.0,0.0,0,0,0,0,0,0,18669.0,8667.0,0.0,195401.0,86045.0,0.0,0,0,0,57897.0,15260.0,0.0,5850.0,1373.0,0.0,0,0,0,137832.0,45332.0,0.0,79113.0,35378.0,0.0,20704.0,11017.0,0.0,4938.0,2003.0,0.0,82650.0,42838.0,0.0,9402.0,0.0,0.0,47715.0,24949.0,0.0,7327.0,2274.0,0.0,2135.0,1120.0,0.0,23745.0,8161.0,0.0,745.0,185.0,0.0,80.0,45.0,0.0,61898.0,32250.0,0.0,0,0,0,21792.0,21792.0,0.0,4298.0,2016.0,0.0,125505.0,25515.0,0.0,0,0,0,0,0,0,30392.0,15894.0,0.0,451.0,223.0,0.0,14442.0,12604.0,0.0,50.0,31.0,0.0,81.0,57.0,0.0,0,0,0,0,0,0,17696.0,10909.0,0.0,0,0,0,53033.0,25653.0,0.0,2656.0,1843.0,0.0,53762.0,26447.0,0.0,15835.0,9299.0,0.0,0,0,0,0,0,0,37513.0,7353.0,0.0,56324.0,33032.0,0.0,31823.0,18215.0,0.0
201508,4235.0,447.0,0.0,7080.0,4029.0,0.0,171035.0,63447.0,0.0,19839.0,10502.0,0.0,13016.0,6731.0,0.0,6566.0,1313.0,0.0,0,0,0,0,0,0,488136.0,144613.0,0.0,77776.0,62449.0,0.0,0,0,0,0,0,0,18053.0,8284.0,0.0,208969.0,91436.0,0.0,0,0,0,62611.0,15585.0,0.0,5494.0,1218.0,0.0,0,0,0,150575.0,49960.0,0.0,90170.0,38919.0,0.0,25242.0,14365.0,0.0,6432.0,3572.0,0.0,88004.0,47170.0,0.0,2996.0,0.0,0.0,51168.0,27116.0,0.0,4826.0,1568.0,0.0,5354.0,1595.0,0.0,23889.0,8108.0,0.0,403.0,100.0,0.0,110.0,5.0,0.0,69002.0,35712.0,0.0,0,0,0,22183.0,22183.0,0.0,4429.0,2008.0,0.0,111382.0,22582.0,0.0,0,0,0,0,0,0,29834.0,15586.0,0.0,565.0,277.0,0.0,15781.0,13754.0,0.0,16.0,13.0,0.0,163.0,123.0,0.0,0,0,0,0,0,0,34194.0,18739.0,0.0,0,0,0,60048.0,23611.0,0.0,2538.0,1714.0,0.0,57215.0,28569.0,0.0,15729.0,9477.0,0.0,0,0,0,0,0,0,32057.0,6260.0,0.0,66491.0,38835.0,0.0,36197.0,21349.0,0.0
201509,5420.0,535.0,0.0,7636.0,4083.0,0.0,178110.0,66503.0,0.0,21369.0,11797.0,0.0,11812.0,6150.0,0.0,5666.0,1133.0,0.0,0,0,0,0,0,0,527387.0,156514.0,0.0,78869.0,63523.0,0.0,0,0,0,0,0,0,21439.0,9126.0,0.0,210232.0,91316.0,0.0,0,0,0,53707.0,16187.0,0.0,7280.0,1835.0,0.0,0,0,0,187828.0,54925.0,0.0,94700.0,41874.0,0.0,25241.0,12887.0,0.0,7512.0,3818.0,0.0,100390.0,51719.0,0.0,4021.0,0.0,0.0,48945.0,25382.0,0.0,6389.0,2008.0,0.0,3666.0,1525.0,0.0,26646.0,10219.0,0.0,509.0,126.0,0.0,14.0,-18.0,0.0,75543.0,40810.0,0.0,0,0,0,32858.0,32858.0,0.0,5680.0,2310.0,0.0,114784.0,23294.0,0.0,0,0,0,0,0,0,24269.0,11422.0,0.0,1129.0,583.0,0.0,16139.0,14074.0,0.0,48.0,38.0,0.0,46.0,38.0,0.0,0,0,0,0,0,0,57804.0,26868.0,0.0,0,0,0,71240.0,28997.0,0.0,2795.0,1884.0,0.0,75779.0,35272.0,0.0,16910.0,10021.0,0.0,0,0,0,0,0,0,31981.0,5867.0,0.0,104664.0,51807.0,0.0,34043.0,20696.0,0.0
201512,3540.0,361.0,0.0,5910.0,3834.0,0.0,166150.0,67031.0,0.0,21322.0,11597.0,0.0,11209.0,5799.0,0.0,3931.0,786.0,0.0,0,0,0,0,0,0,452878.0,134371.0,0.0,77892.0,62695.0,0.0,0,0,0,0,0,0,25736.0,10834.0,0.0,204812.0,88408.0,0.0,0,0,0,70418.0,18407.0,0.0,4986.0,1621.0,0.0,0,0,0,157924.0,52506.0,0.0,111186.0,45489.0,0.0,24085.0,14852.0,0.0,5571.0,2848.0,0.0,84167.0,45400.0,0.0,6048.0,0.0,0.0,60866.0,33815.0,0.0,5315.0,1814.0,0.0,5736.0,1711.0,0.0,39756.0,14463.0,0.0,2519.0,625.0,0.0,6.0,-5.0,0.0,74703.0,43114.0,0.0,0,0,0,22735.0,22735.0,0.0,8300.0,3114.0,0.0,136287.0,27590.0,0.0,0,0,0,0,0,0,21169.0,10884.0,0.0,1137.0,522.0,0.0,14365.0,12544.0,0.0,40.0,31.0,0.0,25.0,18.0,0.0,0,0,0,0,0,0,19.0,-1.0,0.0,0,0,0,54351.0,26044.0,0.0,3608.0,2437.0,0.0,75178.0,32784.0,0.0,15883.0,9511.0,0.0,0,0,0,0,0,0,34827.0,6563.0,0.0,72423.0,41387.0,0.0,40516.0,22916.0,0.0
